,classType,operationFlags,procname,low_0_sysname,low_0_blob_flags,low_0_blob_mode,low_0_blob_filename,low_0_type,low_0_id,low_0_ts,low_1_sysname,low_1_xref,low_1_ts,low_1_blob_filename,low_1_type,low_1_id,tid,class
0,0,0,<pre-initialized>,open,147456,1,/sys/devices/system/cp,SYSCALL,506,1545638795.531,close,506.0,1545638795.531,/sys/devices/system/cp,SYSCALL,509.0,1163,FS ACCESS
1,0,0,com.topteam.flashlight,open,131072,1,/data/app/com.topteam.flashlight-1.odex,SYSCALL,592,1545638796.587,,,,,,,1163,FS ACCESS
2,0,0,com.topteam.flashlight,open,131072,1,/vendor/lib/libsoundpool.so,SYSCALL,686,1545638796.594,,,,,,,1163,FS ACCESS
3,0,0,com.topteam.flashlight,open,131072,1,/system/lib/libsoundpool.so,SYSCALL,687,1545638796.594,close,687.0,1545638796.594,/system/lib/libsoundpool.so,SYSCALL,689.0,1163,FS ACCESS
4,0,0,com.topteam.flashlight,open,131072,1,/data/app/com.topteam.flashlight-1.apk,SYSCALL,726,1545638796.596,close,726.0,1545638796.596,/data/app/com.topteam.flashlight-1.apk,SYSCALL,731.0,1163,FS ACCESS
5,0,0,com.topteam.flashlight,open,131072,1,/data/app/com.topteam.flashlight-1.apk,SYSCALL,734,1545638796.596,close,734.0,1545638796.596,/data/app/com.topteam.flashlight-1.apk,SYSCALL,739.0,1163,FS ACCESS
6,0,0,com.topteam.flashlight,open,147456,1,/data/data/com.topteam.flashlight/app_pushimgs,SYSCALL,814,1545638796.604,close,814.0,1545638796.604,/data/data/com.topteam.flashlight/app_pushimgs,SYSCALL,817.0,1163,FS ACCESS
7,0,0,com.topteam.flashlight,open,131072,1,/data/misc/keychain/pins,SYSCALL,1477,1545638797.739,,,,,,,1163,FS ACCESS
8,0,0,com.topteam.flashlight,open,131072,1,/system/framework/webview/paks/en-US.pak,SYSCALL,1865,1545638799.30,,,,,,,1163,FS ACCESS
9,0,0,com.topteam.flashlight,open,131072,1,/system/framework/webview/paks/webviewchromium.pak,SYSCALL,1868,1545638799.30,,,,,,,1163,FS ACCESS
10,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/app_webview/File System/primary.origin,SYSCALL,2939,1545638799.39,,,,,,,1163,FS ACCESS
11,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/app_webview,SYSCALL,4720,1545638799.51,close,4720.0,1545638799.51,/data/data/com.topteam.flashlight/app_webview,SYSCALL,4797.0,1163,FS ACCESS
12,0,0,com.topteam.flashlight,open,147456,1,/proc/1163/task,SYSCALL,4758,1545638799.51,close,4758.0,1545638799.53,/proc/1163/task,SYSCALL,4982.0,1163,FS ACCESS
13,0,0,com.topteam.flashlight,open,131072,1,/data/misc/keychain/pins,SYSCALL,4924,1545638799.52,,,,,,,1163,FS ACCESS
14,0,0,com.topteam.flashlight,open,131072,1,/system/fonts/Roboto-Bold.ttf,SYSCALL,5769,1545638799.57,close,5769.0,1545638799.57,/system/fonts/Roboto-Bold.ttf,SYSCALL,5773.0,1163,FS ACCESS
15,0,0,com.topteam.flashlight,open,655360,1,/vendor/lib/libOpenglSystemCommon.so,SYSCALL,6012,1545638800.174,,,,,,,1163,FS ACCESS
16,0,0,com.topteam.flashlight,open,655360,1,/vendor/lib/lib_renderControl_enc.so,SYSCALL,6027,1545638800.174,,,,,,,1163,FS ACCESS
17,0,0,com.topteam.flashlight,open,655360,1,/vendor/lib/libGLESv2_enc.so,SYSCALL,6041,1545638800.175,,,,,,,1163,FS ACCESS
18,0,0,com.topteam.flashlight,open,655360,1,/vendor/lib/libGLESv1_enc.so,SYSCALL,6055,1545638800.175,,,,,,,1163,FS ACCESS
19,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/app_webview,SYSCALL,11986,1545638802.343,close,11986.0,1545638802.343,/data/data/com.topteam.flashlight/app_webview,SYSCALL,11990.0,1163,FS ACCESS
20,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/app_webview,SYSCALL,12137,1545638802.344,close,12137.0,1545638802.344,/data/data/com.topteam.flashlight/app_webview,SYSCALL,12141.0,1163,FS ACCESS
21,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/app_webview,SYSCALL,12313,1545638802.345,close,12313.0,1545638802.345,/data/data/com.topteam.flashlight/app_webview,SYSCALL,12317.0,1163,FS ACCESS
22,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/app_webview/Cache/index,SYSCALL,12463,1545638802.346,,,,,,,1163,FS ACCESS
23,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/app_webview/Cache/index-dir/the-real-index,SYSCALL,12570,1545638802.347,,,,,,,1163,FS ACCESS
24,0,0,com.topteam.flashlight,open,147456,1,/data/data/com.topteam.flashlight/app_webview/Cache,SYSCALL,12579,1545638802.347,close,12579.0,1545638802.347,/data/data/com.topteam.flashlight/app_webview/Cache,SYSCALL,12582.0,1163,FS ACCESS
25,0,0,com.topteam.flashlight,open,131074,1,/data/data/com.topteam.flashlight/app_webview/Cache/ce0fcd9e7ac216a3_0,SYSCALL,12621,1545638803.402,,,,,,,1163,FS ACCESS
26,0,0,com.topteam.flashlight,open,131072,1,/data/misc/zoneinfo/tzdata,SYSCALL,18097,1545638804.471,,,,,,,1163,FS ACCESS
27,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/databases,SYSCALL,22456,1545638805.530,close,22456.0,1545638805.530,/data/data/com.topteam.flashlight/databases,SYSCALL,22470.0,1163,FS ACCESS
28,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,22494,1545638805.530,close,22494.0,1545638805.530,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,22500.0,1163,FS ACCESS
29,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,22519,1545638805.530,close,22519.0,1545638805.530,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,22525.0,1163,FS ACCESS
30,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/databases,SYSCALL,22555,1545638805.530,close,22555.0,1545638805.530,/data/data/com.topteam.flashlight/databases,SYSCALL,22559.0,1163,FS ACCESS
31,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,22682,1545638805.531,close,22682.0,1545638805.531,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,22689.0,1163,FS ACCESS
32,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,22706,1545638805.531,close,22706.0,1545638805.531,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,22712.0,1163,FS ACCESS
33,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/databases,SYSCALL,22754,1545638805.531,close,22754.0,1545638805.531,/data/data/com.topteam.flashlight/databases,SYSCALL,22758.0,1163,FS ACCESS
34,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,22791,1545638805.532,close,22791.0,1545638805.532,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,22797.0,1163,FS ACCESS
35,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,23123,1545638806.573,close,23123.0,1545638806.573,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,23129.0,1163,FS ACCESS
36,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,23157,1545638806.574,close,23157.0,1545638806.574,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,23163.0,1163,FS ACCESS
37,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,23180,1545638806.574,close,23180.0,1545638806.574,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,23186.0,1163,FS ACCESS
38,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,23246,1545638806.574,close,23246.0,1545638806.574,/data/data/com.topteam.flashlight/databases/millennialmedia.db-journal,SYSCALL,23252.0,1163,FS ACCESS
39,0,0,com.topteam.flashlight,open,131072,1,/data/app-lib/com.topteam.flashlight-1/libqb.so,SYSCALL,24217,1545638813.644,close,24217.0,1545638813.644,/data/app-lib/com.topteam.flashlight-1/libqb.so,SYSCALL,24219.0,1163,FS ACCESS
